experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_FalsePositives,1,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,NA,NA,NA,NA,NA
dataset1_FalsePositives,2,74,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,3,112,Spectral Match to Palmitamide from NIST14,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1,subclass,2,Insilico
dataset1_FalsePositives,4,74,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,5,74,Spectral Match to N-Cyclohexanecarbonylpentadecylamine from NIST14,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,6,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_FalsePositives,7,1952,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_FalsePositives,8,74,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,9,74,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,10,1463,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,NA,NA
dataset1_FalsePositives,11,4183,NA,NA,NA,NA,NA,NA,NA,Ethers,1,subclass,2,Insilico
dataset1_FalsePositives,12,4693,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_FalsePositives,13,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_FalsePositives,14,300,Contaminants septum vial Thermo C4000-53 and C4000-54 serie,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_FalsePositives,15,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_FalsePositives,16,1952,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_FalsePositives,17,1280,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,0.6666666666666666,superclass,6,Insilico
dataset1_FalsePositives,18,1956,NA,NA,NA,NA,NA,NA,NA,Benzenoids,0.6666666666666666,superclass,3,Insilico
dataset1_FalsePositives,19,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,20,199,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,0.6338028169014085,superclass,71,Insilico
dataset1_FalsePositives,21,605,Diethyltoluamide,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,0.6842105263157895,superclass,19,Insilico
dataset1_FalsePositives,22,245,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Organooxygen compounds,0.7058823529411765,class,68,Insilico
dataset1_FalsePositives,23,300,Contaminants septum vial Thermo C4000-53 and C4000-54 serie,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_FalsePositives,24,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_FalsePositives,25,245,Hexaethylene glycol,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Ethers,Organooxygen compounds,0.7058823529411765,class,68,Insilico
dataset1_FalsePositives,26,300,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,NA,NA,NA,NA,NA
dataset1_FalsePositives,27,2413,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic acids and derivatives,0.6,superclass,5,Insilico
dataset1_FalsePositives,28,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_FalsePositives,29,245,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Organooxygen compounds,0.7058823529411765,class,68,Insilico
dataset1_FalsePositives,30,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,31,823,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,1,superclass,6,Insilico
dataset1_FalsePositives,32,358,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Ethers,0.75,subclass,4,Insilico
dataset1_FalsePositives,33,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_FalsePositives,34,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,35,245,Pentaethylene glycol,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,Organooxygen compounds,0.7058823529411765,class,68,Insilico
dataset1_FalsePositives,36,74,"10E,12Z-octadecadienoic acid",Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty Acyls,0.7183098591549296,class,142,Insilico
