,scan,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
0,1,242,Organoheterocyclic compounds,1.1,superclass,4.0,Insilico
1,3,695,Pyrimidines and pyrimidine derivatives,0.7666666666666666,subclass,3.0,Insilico
2,4,23,Benzoic acids and derivatives,0.8,subclass,5.0,Library
3,7,201,N/A,1.0,subclass,2.0,Library
4,9,1030,null,1.1,subclass,2.0,Insilico
5,10,536,Phosphonic acid diesters,1.009090909090909,subclass,11.0,Insilico
6,11,536,Phosphonic acid diesters,1.009090909090909,subclass,11.0,Insilico
7,12,1359,Pyrimidines and pyrimidine derivatives,1.1,subclass,3.0,Insilico
8,13,182,,,,,
9,14,241,Organic acids and derivatives,0.6666666666666666,superclass,18.0,Library
10,16,612,Diazines,0.8142857142857143,class,7.0,Insilico
11,17,612,Diazines,0.8142857142857143,class,7.0,Insilico
12,19,201,N/A,1.0,subclass,2.0,Library
13,20,201,N/A,1.0,subclass,2.0,Library
14,21,371,,,,,
15,22,201,N/A,1.0,subclass,2.0,Library
16,23,201,N/A,1.0,subclass,2.0,Library
17,27,182,,,,,
18,28,182,,,,,
19,30,330,,,,,
20,31,177,,,,,
21,33,250,,,,,
22,34,247,,,,,
23,35,182,,,,,
24,36,537,,,,,
25,37,182,,,,,
26,39,182,,,,,
27,40,536,Phosphonic acid diesters,1.009090909090909,subclass,11.0,Insilico
28,41,71,Organoheterocyclic compounds,1.1,superclass,4.0,Insilico
29,42,23,Benzoic acids and derivatives,0.8,subclass,5.0,Library
30,44,372,Benzenoids,0.5714285714285714,superclass,7.0,Insilico
31,45,372,Benzenoids,0.5714285714285714,superclass,7.0,Insilico
32,46,494,N/A,0.975,subclass,8.0,Insilico
33,47,126,,,,,
34,50,201,N/A,1.0,subclass,2.0,Library
35,52,330,,,,,
36,53,124,Lipids and lipid-like molecules,0.6666666666666666,superclass,9.0,Library
37,54,182,,,,,
38,55,128,N/A,0.6,superclass,4.0,Insilico
39,56,201,N/A,1.0,subclass,2.0,Library
40,57,201,N/A,1.0,subclass,2.0,Library
41,58,681,Methoxyphenols,0.8142857142857143,subclass,7.0,Insilico
42,59,681,Methoxyphenols,0.8142857142857143,subclass,7.0,Insilico
43,60,681,Methoxyphenols,0.8142857142857143,subclass,7.0,Insilico
44,61,105,,,,,
45,64,439,Organoheterocyclic compounds,0.7666666666666666,superclass,6.0,Insilico
46,65,439,Organoheterocyclic compounds,0.7666666666666666,superclass,6.0,Insilico
47,66,681,Methoxyphenols,0.8142857142857143,subclass,7.0,Insilico
