,,InChIKey
libraryInchikeys,52,IMKHDCBNRDRUEB-UHFFFAOYSA-N
libraryInchikeys,71,NA
libraryInchikeys,79,UWHCKJMYHZGTIT-UHFFFAOYSA-N
libraryInchikeys,191,JLFNLZLINWHATN-UHFFFAOYSA-N
libraryInchikeys,273,HPFXACZRFJDURI-KTKRTIGZSA-N
libraryInchikeys,287,FXCDESKKWMGGON-KHPPLWFESA-N
libraryInchikeys,336,BDLLSHRIFPDGQB-BYROBUSLSA-N
libraryInchikeys,339,LYRFLYHAGKPMFH-UHFFFAOYSA-N
libraryInchikeys,353,AOMUHOFOVNGZAN-UHFFFAOYSA-N
libraryInchikeys,428,DPUOLQHDNGRHBS-KTKRTIGZSA-N
libraryInchikeys,432,XZZNDPSIHUTMOC-UHFFFAOYSA-N
libraryInchikeys,474,NA
libraryInchikeys,696,"<?xml version=""1.0"" encoding=""utf-8""?>
<string xmlns=""http://www.chemspider.com/"" />"
libraryInchikeys,863,HVAUUPRFYPCOCA-AREMUKBSSA-N
libraryInchikeys,1016,SJWWTRQNNRNTPU-QWSHUUDGSA-N
libraryInchikeys,1175,PZTJXZKNTPCPJL-UHFFFAOYSA-N
libraryInchikeys,1192,UMDQPEMZJHAFNL-GCURPGTCSA-N
libraryInchikeys,1193,QADHLRWLCPCEKT-LOVVWNRFSA-N
libraryInchikeys,1194,NA
libraryInchikeys,1218,BNVXCCQXUZCRSR-AWEZNQCLSA-N
libraryInchikeys,1220,AZJUJOFIHHNCSV-NYTRGASXSA-N
libraryInchikeys,1309,NA
libraryInchikeys,1327,YUGWDVYLFSETPE-SWXMWUSOSA-N
libraryInchikeys,1343,NVEQFIOZRFFVFW-UHFFFAOYSA-N
libraryInchikeys,1454,ZJTJUVIJVLLGSP-UHFFFAOYSA-N
libraryInchikeys,1480,JLIDBLDQVAYHNE-BYROBUSLSA-N
libraryInchikeys,1651,RFCVXVPWSPOMFJ-STQMWFEESA-N
libraryInchikeys,1774,QQIVKFZWLZJXJT-VYSWOPBRSA-N
libraryInchikeys,1794,NA
libraryInchikeys,1859,NA
libraryInchikeys,1870,GTRSAMFYSUBAGN-UHFFFAOYSA-N
libraryInchikeys,2206,RVKRJABUQLMQNO-UXQPUSHSSA-N
libraryInchikeys,2348,VSEJLSDPSYNHKR-UHFFFAOYSA-N
libraryInchikeys,2351,CEMXHAPUFJOOSV-UHFFFAOYSA-N
libraryInchikeys,2402,NA
libraryInchikeys,2419,KQNZDYYTLMIZCT-AUPPOWQRSA-N
libraryInchikeys,2446,KFKWRHQBZQICHA-STQMWFEESA-N
libraryInchikeys,2495,ORAWFNKFUWGRJG-UHFFFAOYSA-N
libraryInchikeys,2630,VZFRNCSOCOPNDB-WQXFOKTFSA-N
libraryInchikeys,2729,NA
libraryInchikeys,2759,PUZGUNYANHPRKM-UHFFFAOYSA-N
libraryInchikeys,2790,SZNMERGTFJHNSM-MTCVINLUSA-N
libraryInchikeys,2896,ZBVKFVTUHVIICH-UHFFFAOYSA-N
libraryInchikeys,2907,BDSCYYACNUKQLZ-GJDCDIHCSA-N
libraryInchikeys,3071,WZYGIALDVOKLLL-UHFFFAOYSA-N
libraryInchikeys,3528,LRCNOZRCYBNMEP-SECBINFHSA-N
libraryInchikeys,3534,IEHDJWSAXBGJIP-RYUDHWBXSA-N
libraryInchikeys,3618,IMWZZHHPURKASS-UHFFFAOYSA-N
libraryInchikeys,3622,BVIAOQMSVZHOJM-UHFFFAOYSA-N
libraryInchikeys,3629,KGUMXGDKXYTTEY-BGWOKVLNSA-N
libraryInchikeys,3640,XVUIZOUTLADVIH-UHFFFAOYSA-N
libraryInchikeys,3651,YGPSJZOEDVAXAB-UHFFFAOYSA-N
libraryInchikeys,3685,KBOVKDIBOBQLRS-RKJYRWHCSA-N
libraryInchikeys,3698,NFDYGNFETJVMSE-BQBZGAKWSA-N
libraryInchikeys,3710,JBCLFWXMTIKCCB-VIFPVBQESA-N
libraryInchikeys,3736,OMNVYXHOSHNURL-LNHLLULHSA-N
libraryInchikeys,3785,VVPRQWTYSNDTEA-LLVKDONJSA-N
libraryInchikeys,3793,YBAFDPFAUTYYRW-YUMQZZPRSA-N
libraryInchikeys,3899,KLAONOISLHWJEE-QWRGUYRKSA-N
libraryInchikeys,3900,VHLZDSUANXBJHW-QWRGUYRKSA-N
libraryInchikeys,3901,QCZYYEFXOBKCNQ-STQMWFEESA-N
libraryInchikeys,3934,YKIOHMXLFWMWKD-JJUYGIQRSA-N
libraryInchikeys,3951,XSEGWEUVSZRCBC-KUMUZCRXSA-N
libraryInchikeys,3975,KVYUBFKSKZWZSV-FPLPWBNLSA-N
libraryInchikeys,4202,PSHXNVGSVNEJBD-LJQANCHMSA-N
libraryInchikeys,4367,NA
libraryInchikeys,4475,VJQANBSDAGCDJE-UHFFFAOYSA-N
libraryInchikeys,4483,NA
libraryInchikeys,4500,VXUOFDJKYGDUJI-OAQYLSRUSA-N
libraryInchikeys,4532,VLBPIWYTPAXCFJ-XMMPIXPASA-N
libraryInchikeys,4541,BVJSKAUUFXBDOB-BPGUCPLFSA-N
libraryInchikeys,5032,FBMORZZOJSDNRQ-KILZELBOSA-N
libraryInchikeys,5065,DCBSHORRWZKAKO-UHFFFAOYSA-N
libraryInchikeys,5160,BHTRKEVKTKCXOH-OGTVOWCVSA-N
libraryInchikeys,5544,NVEQFIOZRFFVFW-RGCMKSIDSA-N
libraryInchikeys,5545,HYVABZIGRDEKCD-UHFFFAOYSA-N
libraryInchikeys,5546,RGZSQWQPBWRIAQ-UHFFFAOYSA-N
