experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_SmallNets,1,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,NA,NA,NA,NA,NA
dataset1_SmallNets,2,604,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Fatty acids and conjugates,1,subclass,1,Library
dataset1_SmallNets,3,609,Spectral Match to Palmitamide from NIST14,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1,subclass,1,Library
dataset1_SmallNets,4,1275,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty amides,0.7470588235294118,subclass,17,Insilico
dataset1_SmallNets,5,1275,Spectral Match to N-Cyclohexanecarbonylpentadecylamine from NIST14,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,0.7470588235294118,subclass,17,Insilico
dataset1_SmallNets,6,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_SmallNets,7,2841,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,8,1275,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,0.7470588235294118,subclass,17,Insilico
dataset1_SmallNets,9,1275,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,0.7470588235294118,subclass,17,Insilico
dataset1_SmallNets,10,205,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,NA,NA
dataset1_SmallNets,11,810,NA,NA,NA,NA,NA,NA,NA,Ethers,1.1,subclass,2,Insilico
dataset1_SmallNets,12,3785,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,13,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_SmallNets,14,14,Contaminants septum vial Thermo C4000-53 and C4000-54 serie,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,15,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_SmallNets,16,2841,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,17,1297,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-alkylpyrrolidines,1,subclass,1,Library
dataset1_SmallNets,18,2331,NA,NA,NA,NA,NA,NA,NA,Benzenoids,0.7666666666666666,superclass,3,Insilico
dataset1_SmallNets,19,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,20,156,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,0.5476190476190477,superclass,42,Insilico
dataset1_SmallNets,21,414,Diethyltoluamide,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzene and substituted derivatives,0.8,class,5,Library
dataset1_SmallNets,22,283,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Organic oxygen compounds,0.5238095238095238,superclass,21,Insilico
dataset1_SmallNets,23,14,Contaminants septum vial Thermo C4000-53 and C4000-54 serie,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,24,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_SmallNets,25,121,Hexaethylene glycol,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,6,Library
dataset1_SmallNets,26,14,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,NA,NA,NA,NA,NA
dataset1_SmallNets,27,6348,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic acids and derivatives,0.7,superclass,5,Insilico
dataset1_SmallNets,28,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_SmallNets,29,283,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Organic oxygen compounds,0.5238095238095238,superclass,21,Insilico
dataset1_SmallNets,30,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,31,491,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,0.7666666666666666,subclass,6,Insilico
dataset1_SmallNets,32,2444,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Ethers,0.85,subclass,4,Insilico
dataset1_SmallNets,33,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_SmallNets,34,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,35,121,Pentaethylene glycol,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,6,Library
dataset1_SmallNets,36,-1,"10E,12Z-octadecadienoic acid",Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Fatty Acyls,NA,Lineolic acids and derivatives,1,NA,NA,Library
