experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,1,-1,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,2,604,NA,NA,NA,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,604,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,1.018918918918919,class,37,In silico
dataset1_smallNetsFP,3,609,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,609,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1.1,subclass,2,In silico
dataset1_smallNetsFP,4,1275,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,5,1275,N/A,N/A,N/A,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,6,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7,2841,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8,1275,N/A,N/A,N/A,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,9,1275,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,10,205,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,205,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,11,810,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,810,no matches,no matches,no matches,Ethers,1.1,subclass,2,In silico
dataset1_smallNetsFP,12,3785,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3785,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,13,-1,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,14,14,N/A,N/A,N/A,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,14,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,15,-1,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,16,2841,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,17,1297,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1297,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,Fatty amides,0.7666666666666666,subclass,6,In silico
dataset1_smallNetsFP,18,2331,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,2331,no matches,no matches,no matches,Benzenoids,0.7666666666666666,superclass,3,In silico
dataset1_smallNetsFP,19,-1,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,20,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,no matches,no matches,no matches,Organic acids and derivatives,0.5476190476190477,superclass,42,In silico
dataset1_smallNetsFP,21,414,Benzenoids,Benzene and substituted derivatives,Toluenes,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,Toluenes,414,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,0.7842105263157895,superclass,19,In silico
dataset1_smallNetsFP,22,283,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,283,no matches,no matches,no matches,Organic oxygen compounds,0.5238095238095238,superclass,21,In silico
dataset1_smallNetsFP,23,14,N/A,N/A,N/A,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",14,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,24,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,25,121,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,9,In silico
dataset1_smallNetsFP,26,14,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,14,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,27,6348,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,6348,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,5,In silico
dataset1_smallNetsFP,28,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,29,283,NA,NA,NA,N/A,N/A,N/A,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,283,no matches,no matches,no matches,Organic oxygen compounds,0.5238095238095238,superclass,21,In silico
dataset1_smallNetsFP,30,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,31,491,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,491,no matches,no matches,no matches,Fatty amides,0.7666666666666666,subclass,6,In silico
dataset1_smallNetsFP,32,2444,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,2444,no matches,no matches,no matches,Ethers,0.85,subclass,4,In silico
dataset1_smallNetsFP,33,-1,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,34,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,35,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,9,In silico
dataset1_smallNetsFP,36,-1,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,37,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,38,277,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,277,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines,Lipids and lipid-like molecules,0.7,superclass,10,In silico
dataset1_smallNetsFP,39,2444,NA,NA,NA,N/A,N/A,N/A,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,2444,no matches,no matches,no matches,Ethers,0.85,subclass,4,In silico
dataset1_smallNetsFP,40,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,no matches,no matches,no matches,NA,NA,NA,NA,NA
