experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset4_FalsePositives,1,-1,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,2,46,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89,In silico
dataset4_FalsePositives,3,1015,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic acids and derivatives,0.6666666666666666,superclass,6,In silico
dataset4_FalsePositives,4,31,Canthaxanthin (Euglenanone),Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89,In silico
dataset4_FalsePositives,5,-1,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,6,1257,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18,In silico
dataset4_FalsePositives,7,2409,NA,NA,NA,NA,Benzenoids,NA,NA,Organic oxygen compounds,0.6666666666666666,superclass,3,In silico
dataset4_FalsePositives,8,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,9,31,Massbank:MSJ00126 Echinenone,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89,In silico
dataset4_FalsePositives,10,650,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14",N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic acids and derivatives;Carboxylic acids and derivatives,0.8,class,5,In silico
dataset4_FalsePositives,11,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset4_FalsePositives,12,46,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89,In silico
dataset4_FalsePositives,13,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,14,40,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,NA,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95,In silico
dataset4_FalsePositives,15,319,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate",Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset4_FalsePositives,16,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,17,46,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89,In silico
dataset4_FalsePositives,18,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,19,1557,Pheophytin a,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA
dataset4_FalsePositives,20,-1,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
dataset4_FalsePositives,21,-1,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055,In silico
