experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierrSmalNets,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,2,604,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,604,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,1,subclass,1,Library
dorcierrSmalNets,3,609,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,609,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1,subclass,1,Library
dorcierrSmalNets,4,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1275,no matches,no matches,no matches,N/A,1,subclass,10,Library
dorcierrSmalNets,5,1275,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,N/A,1,subclass,10,Library
dorcierrSmalNets,6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,7,2841,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,8,1275,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,N/A,1,subclass,10,Library
dorcierrSmalNets,9,1275,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,N/A,1,subclass,10,Library
dorcierrSmalNets,10,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,205,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,11,810,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA,NA,810,no matches,no matches,no matches,Ethers,1,subclass,2,Insilico
dorcierrSmalNets,12,3785,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3785,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,13,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14,14,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,14,no matches,no matches,no matches,N/A,1,subclass,13,Library
dorcierrSmalNets,15,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,16,2841,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,17,1297,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1297,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,NA,NA,NA,NA,NA
dorcierrSmalNets,18,2331,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA,NA,2331,no matches,no matches,no matches,Benzenoids,0.6666666666666666,superclass,3,Insilico
