experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
psuedonitzchia,1,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",242,no matches,no matches,no matches,Organoheterocyclic compounds,1,superclass,4,Insilico
psuedonitzchia,2,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,242,no matches,no matches,no matches,Organoheterocyclic compounds,1,superclass,4,Insilico
psuedonitzchia,3,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",695,no matches,no matches,no matches,Organoheterocyclic compounds,0.6666666666666666,superclass,3,Insilico
psuedonitzchia,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids and derivatives,0.8,subclass,5,Library
psuedonitzchia,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia,6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Imidolactams,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia,7,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,201,no matches,no matches,no matches,N/A,1,subclass,2,Library
psuedonitzchia,8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia,9,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,1030,no matches,no matches,no matches,null,1,subclass,2,Insilico
psuedonitzchia,10,536,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,NA,NA,NA,NA,NA,NA,536,no matches,no matches,no matches,Phosphonic acid diesters,0.9090909090909091,subclass,11,Insilico
psuedonitzchia,11,536,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,NA,536,no matches,no matches,no matches,Phosphonic acid diesters,0.9090909090909091,subclass,11,Insilico
psuedonitzchia,12,1359,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,1359,no matches,no matches,no matches,Pyrimidines and pyrimidine derivatives,1,subclass,3,Insilico
psuedonitzchia,13,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia,14,241,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,241,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.6666666666666666,superclass,18,Library
psuedonitzchia,15,241,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Anilides,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,241,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.6666666666666666,superclass,18,Library
psuedonitzchia,16,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,612,no matches,no matches,no matches,Diazines,0.7142857142857143,class,7,Insilico
