experiment,feature_number,network,libraryID,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,GnpsJobID
dataset1,3,112,Spectral Match to Palmitamide from NIST14,Fatty amides,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,21,605,Diethyltoluamide,Benzene and substituted derivatives,0.8,class,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,35,245,Pentaethylene glycol,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,36,74,"10E,12Z-octadecadienoic acid",Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,42,-1,Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol,Amines,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,44,-1,Val-Gly-Arg,"Amino acids, peptides, and analogues",1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,46,2256,Thromboxane B3,Eicosanoids,1,subclass,1,Library,16616afa8edd490ea7e50cc316a20222
dataset1,83,74,"Spectral Match to 13-Docosenamide, (Z)- from NIST14",Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,88,3555,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Phosphate esters,1,subclass,3,Library,16616afa8edd490ea7e50cc316a20222
dataset1,104,2079,Icaridin,Piperidinecarboxylic acids and derivatives,0.75,subclass,4,Library,16616afa8edd490ea7e50cc316a20222
dataset1,114,-1,Prednisolone 21-acetate,Pregnane steroids,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,145,-1,"(1R,3R,6R,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0?,??.0?,?.0?,??.0??,??]nonadecane-5,15,18-trione",Terpene lactones,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,147,245,Tetraethylene glycol,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,150,1349,"Massbank:LU100202 2,2'-(Tetradecylimino)diethanol|Tetradecyldiethanolamine",Amines,1,subclass,2,Library,16616afa8edd490ea7e50cc316a20222
dataset1,160,-1,Metanephrine,Methoxyphenols,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,162,-1,Diethyl pimelate,Fatty acid esters,1,NA,NA,Library,16616afa8edd490ea7e50cc316a20222
dataset1,184,1432,Altretamine,Amines,1.1,subclass,5,Library,16616afa8edd490ea7e50cc316a20222
dataset1,241,74,Linoleoylglycine,Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,250,74,"11-Hexadecenoic acid, 16-[[(ethylamino)carbonyl]amino]-, (11Z)-",Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library,16616afa8edd490ea7e50cc316a20222
dataset1,286,245,Spectral Match to Nonaethylene glycol from NIST14,Ethers,1,subclass,12,Library,16616afa8edd490ea7e50cc316a20222
dataset1,302,952,Benzyldimethyltetradecylammonium cation,Phenylmethylamines,0.8333333333333334,subclass,6,Library,16616afa8edd490ea7e50cc316a20222
