,InChIKey
0,"{""message"":""unable to import structure""}
"
1,KGCNDKCOIZRIBM-UHFFFAOYSA-N
2,"{""message"":""unable to import structure""}
"
3,"{""message"":""unable to import structure""}
"
4,"{""message"":""unable to import structure""}
"
5,WZFRFRNRQLQJOR-UHFFFAOYSA-N
6,"{""message"":""unable to import structure""}
"
7,WZFRFRNRQLQJOR-UHFFFAOYSA-N
8,"{""message"":""unable to import structure""}
"
9,"{""message"":""unable to import structure""}
"
10,"{""message"":""unable to import structure""}
"
11,ZMISCBBFNVOMQY-UHFFFAOYSA-N
12,MROAHXOXGSRKRS-UHFFFAOYSA-N
13,VKGZCEJTCKHMRL-UHFFFAOYSA-N
14,"{""message"":""unable to import structure""}
"
15,PSAJPLNSWWYXDV-UHFFFAOYSA-N
16,WRNQQFNBEUKAAX-UHFFFAOYSA-N
17,"{""message"":""unable to import structure""}
"
18,"{""message"":""unable to import structure""}
"
19,"{""message"":""unable to import structure""}
"
20,"{""message"":""unable to import structure""}
"
21,MTAKQPCXFDXVHS-UHFFFAOYSA-N
22,"{""message"":""unable to import structure""}
"
23,CLRIXUVBOLGDSK-UHFFFAOYSA-N
24,"{""message"":""unable to import structure""}
"
25,"{""message"":""unable to import structure""}
"
26,"{""message"":""unable to import structure""}
"
27,OVTSGFBOUPAASR-UHFFFAOYSA-N
28,"{""message"":""unable to import structure""}
"
29,"{""message"":""unable to import structure""}
"
30,QIVBCDIJIAJPQS-UHFFFAOYSA-N
31,QIVBCDIJIAJPQS-UHFFFAOYSA-N
32,LHWVZOUUPJUDIK-UHFFFAOYSA-N
33,"{""message"":""unable to import structure""}
"
34,"{""message"":""unable to import structure""}
"
35,HFBDKDXMZGXWHQ-UHFFFAOYSA-N
36,HFBDKDXMZGXWHQ-UHFFFAOYSA-N
37,"{""message"":""unable to import structure""}
"
38,"{""message"":""unable to import structure""}
"
39,YVYMBNSKXOXSKW-UHFFFAOYSA-N
40,"{""message"":""unable to import structure""}
"
41,"{""message"":""unable to import structure""}
"
42,FCICZIASMDBPOG-UHFFFAOYSA-N
43,BVJSKAUUFXBDOB-UHFFFAOYSA-N
44,"{""message"":""unable to import structure""}
"
45,"{""message"":""unable to import structure""}
"
46,"{""message"":""unable to import structure""}
"
47,"{""message"":""unable to import structure""}
"
48,"{""message"":""unable to import structure""}
"
49,"{""message"":""unable to import structure""}
"
50,ZIFJJKFSZQEYCJ-UHFFFAOYSA-N
51,"{""message"":""unable to import structure""}
"
52,BVJSKAUUFXBDOB-UHFFFAOYSA-N
53,BVJSKAUUFXBDOB-UHFFFAOYSA-N
54,"{""message"":""unable to import structure""}
"
55,BVJSKAUUFXBDOB-UHFFFAOYSA-N
56,"{""message"":""unable to import structure""}
"
57,"{""message"":""unable to import structure""}
"
58,"{""message"":""unable to import structure""}
"
59,"{""message"":""unable to import structure""}
"
60,"{""message"":""unable to import structure""}
"
61,"{""message"":""unable to import structure""}
"
62,"{""message"":""unable to import structure""}
"
63,"{""message"":""unable to import structure""}
"
64,"{""message"":""unable to import structure""}
"
65,"{""message"":""unable to import structure""}
"
66,"{""message"":""unable to import structure""}
"
67,"{""message"":""unable to import structure""}
"
68,XEVRBOQZSXWGQO-UHFFFAOYSA-N
69,JAQGKXUEKGKTKX-UHFFFAOYSA-N
70,MEIYDPOVJHMEJK-UHFFFAOYSA-N
71,"{""message"":""unable to import structure""}
"
72,"{""message"":""unable to import structure""}
"
73,VPFGUPHJCAHVJV-UHFFFAOYSA-N
74,"{""message"":""unable to import structure""}
"
75,BBYWOYAFBUOUFP-UHFFFAOYSA-N
76,"{""message"":""unable to import structure""}
"
77,JDJWRHWGRXRSDT-UHFFFAOYSA-N
