	rank	#adducts	#predictedFPs	Confidence_Score	CSI:FingerID_Score	Zodiac_Score	TreeIsotope_Score	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	id	Original_Path	scan	sirius_id	experimentName
0	1	1	1	0.9635437486363540	-88.6074680907876	1.0	47.35845667296360	C24H42NO7P	[M + H]+	RPRPAMJEUBRJGP	"InChI=1S/C24H42NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h6-13,23,26H,5,14-22H2,1-4H3/p+1"		CCC=CC=CC=CC=CCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O		134764688;134764689	PubChem:(134764688 134764689)	2	0	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6357	5476_spectrumfile-00000_6357	6357
1	2	1	8	0.9592079887617320	-166.1688093255960	0.019095477386934700	47.160811428711800	C35H60NO7P	[M + H]+	KGCNDKCOIZRIBM	"InChI=1S/C35H60NO7P/c1-3-5-7-9-11-13-15-16-17-18-19-20-22-24-26-28-35(37)43-34(33-42-44(38,39)41-31-29-36)32-40-30-27-25-23-21-14-12-10-8-6-4-2/h6,8,10,12,14,16-17,21,23,25,27,30,34H,3-5,7,9,11,13,15,18-20,22,24,26,28-29,31-33,36H2,1-2H3,(H,38,39)"		CCCCCCCCC=CCCCCCCCC(=O)OC(COC=CC=CC=CC=CC=CCC)COP(=O)(O)OCCN		101603732;101603733	PubChem:(101603732 101603733);Natural Products:(UNPD124132)	32770	1	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6479	5598_spectrumfile-00000_6479	6479
2	3	4	4	0.9456687972040860	-172.07714373204600	0.9994974874371860	17.212763519149300	C24H46NO8P	[M + H]+	OVMUBUCPBNQKCW	"InChI=1S/C24H46NO8P/c1-7-8-9-10-11-12-13-14-15-16-23(26)30-19-22(20-31-24(27)21(2)3)33-34(28,29)32-18-17-25(4,5)6/h22H,2,7-20H2,1,3-6H3/p+1"		CCCCCCCCCCCC(=O)OCC(COC(=O)C(=C)C)OP(=O)(O)OCC[N+](C)(C)C		46175009;46175010	PubChem:(46175009 46175010)	2	2	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	8919	7328_spectrumfile-00000_8919	8919
3	4	1	1	0.944385177325682	-165.03831703116200	0.9984924623115580	30.414629023161300	C24H46NO8P	[M + H]+	OVMUBUCPBNQKCW	"InChI=1S/C24H46NO8P/c1-7-8-9-10-11-12-13-14-15-16-23(26)30-19-22(20-31-24(27)21(2)3)33-34(28,29)32-18-17-25(4,5)6/h22H,2,7-20H2,1,3-6H3/p+1"		CCCCCCCCCCCC(=O)OCC(COC(=O)C(=C)C)OP(=O)(O)OCC[N+](C)(C)C		46175009;46175010	PubChem:(46175009 46175010)	2	3	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	7073	6060_spectrumfile-00000_7073	7073
4	5	4	4	0.9389562741506010	-105.8743395724950	0.9919597989949750	41.95356032274500	C22H38NO8P	[M + H]+	OSANHMITPKGSPJ	"InChI=1S/C22H38NO8P/c1-23(2,3)16-18-30-32(27,28)31-20-21(25)19-29-22(26)15-13-11-9-7-5-4-6-8-10-12-14-17-24/h4,6-7,9-10,12,17,21,25H,5,8,11,13-16,18-20H2,1-3H3/p+1"		C[N+](C)(C)CCOP(=O)(O)OCC(COC(=O)CCCC=CCC=CCC=CCC=O)O			YMDB Mine:(null)	34359738368	4	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	9659	7913_spectrumfile-00000_9659	9659
5	6	1	2	0.9380758398167580	-93.03589159593090	0.9000000000000000	147.97612055853200	C21H38NO7P	[M + H]+	WZFRFRNRQLQJOR	"InChI=1S/C21H38NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h3-8,20,23H,2,9-19,22H2,1H3,(H,25,26)"		CCC=CC=CC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O		134777660	PubChem:(134777660)	2	5	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6320	5439_spectrumfile-00000_6320	6320
6	7	4	4	0.9351515786141940	-104.13949995648100	1.0	28.11960734876380	C24H42NO7P	[M + H]+	RPRPAMJEUBRJGP	"InChI=1S/C24H42NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h6-13,23,26H,5,14-22H2,1-4H3/p+1"		CCC=CC=CC=CC=CCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O		134764688;134764689	PubChem:(134764688 134764689)	2	6	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	8916	7325_spectrumfile-00000_8916	8916
7	8	4	5	0.9272942541965120	-105.02650122331200	0.9000000000000000	137.98115977780400	C21H38NO7P	[M + H]+	WZFRFRNRQLQJOR	"InChI=1S/C21H38NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h3-8,20,23H,2,9-19,22H2,1H3,(H,25,26)"		CCC=CC=CC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O		134777660	PubChem:(134777660)	2	7	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	6319	5438_spectrumfile-00000_6319	6319
8	9	1	4	0.9253329372006710	-63.22329892556570	0.012060301507537700	12.280324611791000	C19H40NO8P	[M + Na]+	JLONCVVOXKWPKI	"InChI=1S/C19H40NO8P/c1-5-6-7-8-9-10-11-12-13-19(21)25-16-18(28-22)17-27-29(23,24)26-15-14-20(2,3)4/h18H,5-17H2,1-4H3,(H-,22,23,24)/p+1"		CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OO		89972133;89972134	PubChem:(89972133 89972134)	2	8	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	9654	7908_spectrumfile-00000_9654	9654
9	10	1	1	0.9089333596914250	-60.00444509642150	0.9969849246231160	16.089554323243800	C28H54NO9P	[M + H]+	BHSGUPRVLFLKQP	"InChI=1S/C28H54NO9P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-19-27(31)35-24-26(38-28(32)20-18-22-30)25-37-39(33,34)36-23-21-29(2,3)4/h22,26H,5-21,23-25H2,1-4H3/p+1"		CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCC=O		11060914;11060915;102496568;134812293	PubChem:(11060914 11060915 102496568 134812293);YMDB Mine:(null)	34359738370	9	f.ikoester/Pn_Canopus_All_SIRIUS2.mgf	4718	4199_spectrumfile-00000_4718	4718
