,scan,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
0,1,-1,,,,,
1,2,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
2,3,1015,Organic acids and derivatives;Carboxylic acids and derivatives;Dicarboxylic acids and derivatives,1.0,subclass,1.0,Library
3,4,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
4,5,-1,,,,,
5,6,1257,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
6,7,2409,Organic oxygen compounds,0.6666666666666666,superclass,3.0,In silico
7,8,-1,,,,,
8,9,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
9,10,650,Organic acids and derivatives;Carboxylic acids and derivatives,0.8,class,5.0,In silico
10,11,208,,,,,
11,12,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
12,13,-1,,,,,
13,14,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
14,15,319,Lipids and lipid-like molecules;Prenol lipids,1.1,class,3.0,Library
15,16,-1,,,,,
16,17,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
17,18,-1,,,,,
18,19,1557,,,,,
19,20,-1,,,,,
20,21,-1,,,,,
21,22,-1,,,,,
22,23,174,Lipids and lipid-like molecules;Prenol lipids;Triterpenoids,1.0,subclass,2.0,Library
23,24,3456,,,,,
24,25,319,Lipids and lipid-like molecules;Prenol lipids,1.1,class,3.0,Library
25,26,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
26,27,1072,Lipids and lipid-like molecules,0.6153846153846154,superclass,13.0,In silico
27,28,1129,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.0,subclass,2.0,Library
28,29,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
29,30,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
30,31,565,Organic nitrogen compounds;Organonitrogen compounds,1.1,class,19.0,In silico
31,32,-1,,,,,
32,33,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
33,34,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
34,35,566,,,,,
35,36,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
36,37,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
37,38,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
38,39,545,Benzenoids,0.5555555555555556,superclass,9.0,In silico
39,40,-1,,,,,
40,41,-1,,,,,
41,42,545,Benzenoids,0.5555555555555556,superclass,9.0,In silico
42,43,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
43,44,-1,,,,,
44,45,-1,,,,,
45,46,1257,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
46,47,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
47,48,319,Lipids and lipid-like molecules;Prenol lipids,1.1,class,3.0,Library
48,49,-1,,,,,
49,50,577,Lipids and lipid-like molecules;Fatty Acyls,0.725,class,8.0,In silico
50,51,1015,Organic acids and derivatives;Carboxylic acids and derivatives;Dicarboxylic acids and derivatives,1.0,subclass,1.0,Library
51,52,1109,,,,,
52,53,265,Lipids and lipid-like molecules,0.6666666666666666,superclass,3.0,In silico
53,54,163,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
54,55,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
55,56,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
56,57,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
57,58,-1,,,,,
58,59,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
59,60,530,,,,17.0,In silico
60,61,545,Benzenoids,0.5555555555555556,superclass,9.0,In silico
61,62,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
62,63,566,,,,,
63,64,1072,Lipids and lipid-like molecules,0.6153846153846154,superclass,13.0,In silico
64,65,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
65,66,-1,,,,,
66,67,458,,,,,
67,68,1528,Lipids and lipid-like molecules,0.75,superclass,4.0,In silico
68,69,-1,,,,,
69,70,-1,,,,,
70,71,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
71,72,1257,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
72,73,-1,,,,,
73,74,-1,,,,,
74,75,1855,Benzenoids,1.0,superclass,1.0,In silico
75,76,997,,,,,
76,77,3456,,,,,
77,78,458,,,,,
78,79,89,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
79,80,440,Lipids and lipid-like molecules,0.8021276595744681,superclass,47.0,In silico
80,81,-1,,,,,
81,82,567,Lipids and lipid-like molecules;Glycerolipids,1.0047619047619047,class,21.0,In silico
82,83,319,Lipids and lipid-like molecules;Prenol lipids,1.1,class,3.0,Library
83,84,-1,,,,,
84,85,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
85,86,-1,,,,,
86,87,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
87,88,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
88,89,405,Organoheterocyclic compounds;Azoles;Thiadiazoles,1.0534883720930233,subclass,43.0,In silico
89,90,907,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,1.0,subclass,2.0,Library
90,91,408,Organoheterocyclic compounds,0.7666666666666666,superclass,12.0,In silico
91,92,880,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,2.0,In silico
92,93,100,Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphocholines,1.1,subclass,4.0,Library
93,94,1129,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.0,subclass,2.0,Library
94,95,-1,,,,,
95,96,484,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
96,97,1438,,,,,
97,98,-1,,,,,
98,99,1392,Lipids and lipid-like molecules,1.0,superclass,2.0,In silico
99,100,321,Lipids and lipid-like molecules,0.9333333333333333,superclass,12.0,In silico
100,101,-1,,,,,
101,102,878,Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,1.0,subclass,1.0,Library
102,103,861,,,,,
103,104,567,Lipids and lipid-like molecules;Glycerolipids,1.0047619047619047,class,21.0,In silico
104,105,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
105,106,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
106,107,747,,,,,
107,108,1825,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,4.0,In silico
108,109,484,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
109,110,-1,,,,,
110,111,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
111,112,-1,,,,,
112,113,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
113,114,311,Lipids and lipid-like molecules;Prenol lipids,0.975,class,8.0,In silico
114,115,1063,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,0.8,subclass,5.0,In silico
115,116,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
116,117,2789,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.0,subclass,1.0,In silico
117,118,260,,,,,
118,119,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
119,120,314,Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters,1.1,subclass,4.0,In silico
120,121,-1,,,,,
121,122,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
122,123,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
123,124,163,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
124,125,526,,,,,
125,126,46,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
126,127,530,,,,17.0,In silico
127,128,186,,,,,
128,129,260,,,,,
129,130,2289,Lipids and lipid-like molecules,0.8,superclass,5.0,In silico
130,131,-1,,,,,
131,132,-1,,,,,
132,133,-1,,,,,
133,134,318,Lipids and lipid-like molecules;Sphingolipids,0.9,class,25.0,In silico
134,135,174,Lipids and lipid-like molecules;Prenol lipids;Triterpenoids,1.0,subclass,2.0,Library
135,136,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
136,137,3546,Lipids and lipid-like molecules;Glycerolipids;Diradylglycerols,1.0,subclass,3.0,In silico
137,138,-1,,,,,
138,139,1553,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,4.0,In silico
139,140,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
140,141,-1,,,,,
141,142,1046,Organic acids and derivatives,0.6666666666666666,superclass,3.0,In silico
142,143,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
143,144,-1,,,,,
144,145,-1,,,,,
145,146,484,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
146,147,-1,,,,,
147,148,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
148,149,332,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",0.8384615384615385,subclass,65.0,In silico
149,150,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
150,151,181,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
151,152,-1,,,,,
152,153,-1,,,,,
153,154,-1,,,,,
154,155,2077,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,5.0,In silico
155,157,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
156,158,-1,,,,,
157,159,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
158,160,382,,,,,
159,161,658,Benzenoids;Benzene and substituted derivatives;Benzoic acids and derivatives,1.0,subclass,1.0,Library
160,162,-1,,,,,
161,163,89,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
162,165,32,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
163,166,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
164,167,-1,,,,,
165,169,-1,,,,,
166,171,1129,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.0,subclass,2.0,Library
167,172,1257,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
168,173,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
169,174,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
170,175,523,,,,,
171,176,831,Lipids and lipid-like molecules,0.7666666666666666,superclass,6.0,In silico
172,177,3009,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.8333333333333334,subclass,6.0,In silico
173,178,318,Lipids and lipid-like molecules;Sphingolipids,0.9,class,25.0,In silico
174,179,-1,,,,,
175,180,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
176,182,458,,,,,
177,183,1257,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
178,184,-1,,,,,
179,185,-1,,,,,
180,186,290,,,,15.0,In silico
181,187,2981,,,,,
182,188,208,,,,,
183,189,-1,,,,,
184,191,-1,,,,,
185,192,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
186,193,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
187,194,-1,,,,,
188,195,-1,,,,,
189,196,174,Lipids and lipid-like molecules;Prenol lipids;Triterpenoids,1.0,subclass,2.0,Library
190,197,249,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,2.0,In silico
191,198,1059,Organic acids and derivatives;Carboxylic acids and derivatives,0.85,class,4.0,In silico
192,200,-1,,,,,
193,201,835,,,,2.0,In silico
194,202,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
195,203,161,Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,1.1,subclass,3.0,In silico
196,204,-1,,,,,
197,205,-1,,,,,
198,206,208,,,,,
199,207,610,,,,,
200,208,-1,,,,,
201,209,-1,,,,,
202,210,596,Organoheterocyclic compounds;Heteroaromatic compounds,0.8777777777777778,class,9.0,In silico
203,211,9,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
204,212,40,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
205,213,-1,,,,,
206,214,-1,,,,,
207,215,-1,,,,,
208,216,112,Lipids and lipid-like molecules;Sphingolipids,1.0230769230769232,class,13.0,In silico
209,217,206,,,,,
210,218,-1,,,,,
211,220,-1,,,,,
212,221,-1,,,,,
213,222,31,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7.0,Library
214,224,650,Organic acids and derivatives;Carboxylic acids and derivatives,0.8,class,5.0,In silico
215,225,208,,,,,
216,226,-1,,,,,
217,227,38,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
218,228,4358,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",1.1,subclass,2.0,In silico
219,229,-1,,,,,
220,230,945,,,,,
221,231,113,Lipids and lipid-like molecules,0.7818181818181817,superclass,22.0,In silico
222,232,186,,,,,
223,233,-1,,,,,
224,235,-1,,,,,
225,236,-1,,,,,
226,237,530,,,,17.0,In silico
227,238,1356,,,,,
228,239,2289,Lipids and lipid-like molecules,0.8,superclass,5.0,In silico
