,SMILES,inchikey,kingdom,superclass,CF_class,subclass,direct_parent,molecular_framework
0,None,None,None,None,None,None,None,None
1,CCCCCCCCC=CCCCCCCCC(=O)OC(COC=CC=CC=CC=CC=CCC)COP(O)(=O)OCCN,InChIKey=KGCNDKCOIZRIBM-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",Aliphatic acyclic compounds
2,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None
4,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None
6,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,None,None
8,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None
10,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None
12,None,None,None,None,None,None,None,None
13,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O,InChIKey=VKGZCEJTCKHMRL-UHFFFAOYSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Purine nucleosides,Aromatic heteropolycyclic compounds
14,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None
16,CC(C)C(N=C(O)C1CCCN1C(=O)C(N)CC1=CC=C(O)C=C1)C(O)=NC(CCC(O)=O)C(=O)N1CCCC1C(O)=O,InChIKey=WRNQQFNBEUKAAX-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Aromatic heteromonocyclic compounds
17,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None,None
21,CCCCCC=CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=MTAKQPCXFDXVHS-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
22,None,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None
26,None,None,None,None,None,None,None,None
27,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None,None
30,NC(CC1=CNC2=CC=CC=C12)C(O)=O,InChIKey=QIVBCDIJIAJPQS-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,Aromatic heteropolycyclic compounds
31,NC(CC1=CNC2=CC=CC=C12)C(O)=O,InChIKey=QIVBCDIJIAJPQS-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,Aromatic heteropolycyclic compounds
32,None,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None,None
35,CC(C)CCCCCCCCCCC(CC(=O)NCC(O)=O)OC(=O)CCC=CCCCCCCCC(C)C,InChIKey=HFBDKDXMZGXWHQ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Aliphatic acyclic compounds
36,CC(C)CCCCCCCCCCC(CC(=O)NCC(O)=O)OC(=O)CCC=CCCCCCCCC(C)C,InChIKey=HFBDKDXMZGXWHQ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Aliphatic acyclic compounds
37,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None
39,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=YVYMBNSKXOXSKW-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
40,None,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None,None
42,None,None,None,None,None,None,None,None
43,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=BVJSKAUUFXBDOB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
44,None,None,None,None,None,None,None,None
45,None,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None,None
48,None,None,None,None,None,None,None,None
49,None,None,None,None,None,None,None,None
50,None,None,None,None,None,None,None,None
51,None,None,None,None,None,None,None,None
52,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=BVJSKAUUFXBDOB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
53,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=BVJSKAUUFXBDOB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
54,None,None,None,None,None,None,None,None
55,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO,InChIKey=BVJSKAUUFXBDOB-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,Aliphatic acyclic compounds
56,None,None,None,None,None,None,None,None
57,None,None,None,None,None,None,None,None
58,None,None,None,None,None,None,None,None
59,None,None,None,None,None,None,None,None
60,None,None,None,None,None,None,None,None
61,None,None,None,None,None,None,None,None
62,None,None,None,None,None,None,None,None
63,None,None,None,None,None,None,None,None
64,None,None,None,None,None,None,None,None
65,None,None,None,None,None,None,None,None
66,None,None,None,None,None,None,None,None
67,None,None,None,None,None,None,None,None
68,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=XEVRBOQZSXWGQO-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
69,NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,InChIKey=JAQGKXUEKGKTKX-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aromatic homomonocyclic compounds
70,CCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O,InChIKey=MEIYDPOVJHMEJK-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Glycosylmonoacylglycerols,Aliphatic heteromonocyclic compounds
71,None,None,None,None,None,None,None,None
72,None,None,None,None,None,None,None,None
73,None,None,None,None,None,None,None,None
74,None,None,None,None,None,None,None,None
75,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=BBYWOYAFBUOUFP-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
76,None,None,None,None,None,None,None,None
77,None,None,None,None,None,None,None,None
78,None,None,None,None,None,None,None,None
79,None,None,None,None,None,None,None,None
80,None,None,None,None,None,None,None,None
81,None,None,None,None,None,None,None,None
82,None,None,None,None,None,None,None,None
83,None,None,None,None,None,None,None,None
84,None,None,None,None,None,None,None,None
85,None,None,None,None,None,None,None,None
86,None,None,None,None,None,None,None,None
87,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN,InChIKey=YVYMBNSKXOXSKW-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,Aliphatic acyclic compounds
88,None,None,None,None,None,None,None,None
89,None,None,None,None,None,None,None,None
90,None,None,None,None,None,None,None,None
91,CCCCCCCCCCCCCC(CC(=O)NC(CCCCN)C(O)=O)OC(=O)CCCCCCCCCCCCC,InChIKey=KXSOIYZLDANCPG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Aliphatic acyclic compounds
92,NC1=NC(=O)C2=C(N1)N(C=N2)C1OC(COP(O)(O)=O)C(O)C1O,InChIKey=RQFCJASXJCIDSX-UHFFFAOYSA-N,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Purine ribonucleoside monophosphates,Aromatic heteropolycyclic compounds
93,CC(CSCC(NC(=O)CCC(N)C(O)=O)C(O)=O)C(O)=O,InChIKey=USEJNLPKVXGAOO-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Aliphatic acyclic compounds
94,None,None,None,None,None,None,None,None
